filename 	h264_qsv_medium	h264_qsv_veryfast	hevc_qsv_hw_medium	hevc_qsv_hw_veryfast	hevc_qsv_sw_medium	hevc_qsv_sw_veryfast	qy265_medium	qy265_veryfast	x264_medium	x265_medium	x265_veryfast
371894311_old.mp4	17.8349010828	16.3925509767	76.7105145353	45.2097962801	131.144794443	62.665627299	24.3457277367	1.62062696698	45.8565501281	153.110420507	85.4526380695
888473142_old.mp4	13.9974756479	12.4579260933	106.98713995	50.5062765989	199.108158634	76.7573246944	39.1670194489	4.11093425773	49.6007290637	176.110430405	101.828108944
923374493_old.mp4	15.8496929461	14.9413252489	105.334373749	48.8379057952	169.863330577	71.451024698	36.5720082561	5.55614522615	44.5799851705	157.925722274	87.672283174
1147186011_old.mp4	19.6343871759	17.839948507	102.978902152	49.9072395807	161.442500909	66.9344990692	35.7947883913	6.33937762695	42.2784173485	148.154202017	77.8689389873
1117927406_old.mp4	19.8192923982	19.6234755552	125.05620853	49.4692612347	205.046254315	70.632176047	35.9021481399	1.44175609686	39.2339869251	172.295259772	105.353400548
1161737720_old.mp4	22.2009015456	20.5504908084	106.187095389	58.8935651147	200.911718065	85.7331101006	35.7902240164	-4.8216344264	57.065990949	236.872237547	144.222670159
952546853_old.mp4	14.8204894022	12.791985634	85.0709099681	45.6812179421	149.810387578	67.7301460908	30.6226901603	2.55044177748	42.3522757152	178.371901019	103.738382058
906992268_old.mp4	24.4807746198	21.5951509739	111.944391951	54.5412211997	192.652448987	80.4148587823	46.0480555481	2.90780657324	43.5696359007	130.558047891	68.2197505411
957309890_old.mp4	18.6426272649	18.6066427614	72.549035487	42.5144413982	129.44081264	55.4082544185	12.2760834036	-4.55557926568	44.0936503769	143.261911314	77.7543429618
1100460081_old.mp4	20.9344067658	20.4827703662	125.450398993	57.7170564648	210.974538536	84.8924364957	51.246104989	7.89715465659	55.9573271409	192.157414224	108.256594219
751239771_old.mp4	16.5229280745	16.0248128184	87.0752092727	45.5464425803	141.470191404	62.4640464093	22.6094493689	1.23633115895	49.436710362	136.573824365	66.2763575664
894099012_old.mp4	21.3959151243	19.2617619327	117.077156479	53.9361791865	196.314347468	73.8896333379	33.0884552033	5.40310604646	37.7786855517	134.861854627	66.1457776899
626659876_old.mp4	32.0326872759	30.8125186429	95.4684979383	54.8168114622	146.067266255	71.5466298172	28.3287665282	3.37445752507	41.4808318428	145.633927469	76.5338073247
391164745_old.mp4	15.3252662069	14.2530604778	88.5769983483	45.4933038007	152.792403621	67.8454679246	24.7706271621	0.588047646626	49.7001093673	184.39506376	105.889950719
1163662590_old.mp4	18.4629413006	18.4685444627	96.8301716336	51.6759723652	160.969075048	71.2849769407	40.7936015756	8.86549603839	40.9782204865	132.873251024	64.4014602196
652478990_old.mp4	17.8892053672	18.0269949612	117.0455768	50.6038732742	200.78232775	73.3487445202	31.9713362218	2.7013208732	47.5721538913	185.192546971	106.031544803
811132625_old.mp4	15.6801365792	16.5023383842	82.0303679461	44.5019740625	150.373487235	68.0734264149	28.5111678684	1.34528260325	47.032872802	189.536689019	113.569024305
1104467716_old.mp4	20.4874125367	18.3490406149	102.393812232	52.590289821	175.584834544	71.6397075804	29.9331232199	5.0565131063	41.8797896088	138.594621078	70.4730695252
844210999_old.mp4	18.0364781404	17.6583402004	101.322570704	52.4725030687	182.710002	78.908409534	40.15235748	5.78980954121	48.8604890565	199.338451876	123.07912488
391269500_old.mp4	22.3487763361	22.3742860909	88.6404299402	49.4239209089	166.101805109	73.2095770595	34.8525352633	4.29200322954	48.3599030372	226.519864861	133.702886913
